flight_id,air_temperature,battery_serial_number,body_serial_number,commit,launch_airspeed,launch_groundspeed,launch_timestamp,preflight_voltage,rel_humidity,static_pressure,wind_direction,wind_magnitude,wing_serial_number
17585,22.75,15SPJJJ10056048,577348835962032159,38bf99b15a,32.206398010253906,29.93757936438522,2018-09-29 17:31:03 CAT,32.225425720214844,60.25,80479.77525915927,-35.19585374308451,3.1940046242341302,15SPJJJ09040032
17586,22.6,15SPJJJ11059037,577350132807389214,38bf99b15a,31.818199157714844,30.157115875536565,2018-09-29 17:42:03 CAT,32.00071334838867,57.35000000201131,80253.40540143607,-47.5005866854494,3.1055219530025715,15SPJJJ09008034
17587,22.85,15SPJJJ09036021,577350132790558758,38bf99b15a,34.793495178222656,30.080158111744883,2018-09-29 17:48:25 CAT,32.07849884033203,60.45,80299.95204890775,-52.275015843250664,3.6715879024670173,15SPJJJ09025064
17589,20.55,15SPJJJ10056048,577350132790489124,38bf99b15a,31.838973999023438,29.89782810943503,2018-09-30 07:58:11 CAT,31.805171966552734,65.75,80758.43053024719,-49.91983139990322,1.3648516626877183,15SPJJJ09040032
17590,22.85,15SPJJJ10019016,577350132790489124,38bf99b15a,35.8253288269043,29.742205777685314,2018-09-30 09:35:47 CAT,32.0579719543457,64.5,80809.2654804559,-32.98361013781021,3.7075137811935654,15SPJJJ09040032
17591,28.05,15SPJJJ10056048,577350132790489124,38bf99b15a,32.98828887939453,29.83806331447706,2018-09-30 12:52:56 CAT,32.27728271484375,58.75,80574.43649290843,-60.107181042846,2.774602072181554,15SPJJJ09031032
17592,28.55,15SPJJJ10050016,577348835962032159,38bf99b15a,31.645296096801758,30.09586129440207,2018-09-30 12:56:28 CAT,32.20922088623047,59.5,80534.4900272677,-52.41972645446176,2.3613191465056182,15SPJJJ09040032
17593,30.124997551050832,15SPJJJ10022048,577350132807389214,38bf99b15a,31.748626708984375,29.783756047598136,2018-09-30 13:29:54 CAT,32.11198806762695,49.299999661998015,80274.2772663105,-66.45706729780814,3.617039030304491,15SPJJJ09008034
17594,25.25,15SPJJJ10056048,577350132807389214,38bf99b15a,31.025455474853516,30.28819489591191,2018-09-30 17:06:59 CAT,31.912126541137695,56.7,80343.66392128699,-86.93097384241165,2.335524902443756,15SPJJJ09040032
17595,20.450000000000003,15SPJJJ10050016,577350132807389214,38bf99b15a,36.45612716674805,29.73706166116663,2018-10-01 07:48:25 CAT,32.234066009521484,58.42499434540656,80676.58546686613,-32.266211986897304,4.097006468308788,15SPJJJ09024061
17596,23.800000000000004,15SPJJJ10056048,577350132790489124,38bf99b15a,36.60335922241211,29.536638822717542,2018-10-01 09:53:09 CAT,32.203819274902344,54.85,80699.40015922167,-29.264410692606994,4.835527829554162,15SPJJJ09024061
17597,23.950000000000003,15SPJJJ10022048,577348835962032159,38bf99b15a,34.220699310302734,29.677027905274848,2018-10-01 10:06:03 CAT,32.1011848449707,55.150000000000006,80707.9195159491,-35.13671006601267,4.147313615105452,15SPJJJ09040032
17599,26.3,15SPJJJ10012034,577348835878129703,38bf99b15a,35.00312805175781,30.11696172281733,2018-10-01 11:15:12 CAT,31.841903686523438,53.900000000000006,80613.88854574529,-27.728729211884435,3.667407890368066,15SPJJJ09040032
17600,29.200000000000003,15SPJJJ11059037,577350132790558758,38bf99b15a,34.12375259399414,29.775961627874267,2018-10-01 11:21:13 CAT,31.891599655151367,42.25,80445.15698560374,-51.493736435511366,4.291874575777145,15SPJJJ09008034
17601,29.050000000000004,15SPJJJ10050049,577350132807389214,38bf99b15a,35.071861267089844,30.19631318310673,2018-10-01 11:25:48 CAT,32.10982894897461,49.25,80547.87082034026,-43.876936822812176,3.6943665394382883,15SPJJJ09024061
17602,29.875031987693028,15SPJJJ10040016,577350132790489124,38bf99b15a,33.95158386230469,30.12131800745571,2018-10-01 11:29:36 CAT,32.13467788696289,48.2,80427.8246636787,-17.42877826905764,2.4044173976080843,15SPJJJ09025064
17603,26.1,15SPJJJ10023027,577348835962032159,38bf99b15a,32.68828201293945,30.211898851653935,2018-10-01 11:37:38 CAT,32.04176712036133,54.55,80548.27168039476,-30.275186154376087,3.20236421883198,15SPJJJ09052035
17604,25.550000000000004,15SPJJJ10021047,577348835878129703,38bf99b15a,34.055694580078125,30.229913591915174,2018-10-01 11:44:49 CAT,32.16708755493164,54.10000000000001,80580.35288811164,-60.414017004968954,1.7787031863223632,15SPJJJ09040032
17606,27.85,15SPJJJ10029029,577350132790558758,38bf99b15a,34.75654220581055,29.896096416599505,2018-10-01 11:54:43 CAT,32.214622497558594,43.650000000000006,80395.37144887118,-80.9418565299761,2.9479315740611605,15SPJJJ09008034
17610,29.225027009418646,15SPJJJ10019016,577348835962032159,38bf99b15a,33.45614242553711,29.75950944747026,2018-10-01 13:38:43 CAT,32.15628433227539,52.02502692508422,80343.52181310001,-57.5673344043304,2.162367978220784,15SPJJJ09052035
17611,31.075004555871736,15SPJJJ10040016,577350132790489124,38bf99b15a,34.34600830078125,30.020338942778707,2018-10-01 14:02:40 CAT,32.28592300415039,50.20000910973188,80413.91343387183,-16.60016847295548,2.1683264068089363,15SPJJJ09040032
17614,28.950000000000003,15SPJJJ10012034,577348835878129703,38bf99b15a,34.78809356689453,29.91713742873061,2018-10-01 14:18:24 CAT,32.11415100097656,39.75,80235.91205598628,-18.927662511275667,2.866125783431657,15SPJJJ09008034
17615,28.35,15SPJJJ10050049,577350132807348254,38bf99b15a,35.57952880859375,29.962990730587215,2018-10-01 14:21:56 CAT,32.21138000488281,46.6,80211.52100179129,-11.541377269190747,2.9544595398088473,15SPJJJ09025064
17618,26.300000000000004,15SPJJJ09036021,577348835962032159,38bf99b15a,34.019474029541016,29.84856434881017,2018-10-01 15:05:48 CAT,32.26539611816406,48.800000000000004,80316.27711578766,-39.49023718226232,3.2502474026194954,15SPJJJ09024061
17619,29.6,15SPJJJ10022048,577350132790489124,38bf99b15a,31.78647804260254,29.772577954349728,2018-10-01 15:32:43 CAT,32.20813751220703,40.400000000000006,80197.4845058231,-67.85551847557971,2.008943841041002,15SPJJJ09008034
17620,30.85,15SPJJJ10050016,577350132790558758,38bf99b15a,30.910083770751953,30.012896231619177,2018-10-01 15:37:53 CAT,32.20705795288086,50.5,80275.73661269547,-95.56031747590528,2.8704490497512887,15SPJJJ09052035
17622,24.35,15SPJJJ10021047,577350132807389214,38bf99b15a,31.49461555480957,30.312902522806567,2018-10-01 17:29:57 CAT,32.3809928894043,48.900000000000006,80200.1330294246,-71.24580456491384,3.223201061370355,15SPJJJ09025064
17623,23.0,15SPJJJ09010022,577348835962032159,38bf99b15a,31.555192947387695,30.04414000895896,2018-10-01 17:54:00 CAT,32.30752944946289,43.97498480705565,80156.79893452137,-88.41968783023228,1.958204988837822,15SPJJJ09008034
17624,22.35,15SPJJJ11059037,577350132807348254,38bf99b15a,31.283336639404297,30.288918018679258,2018-10-01 18:34:09 CAT,32.26215744018555,49.75,80265.01414339748,-85.83161675014603,2.135557306050722,15SPJJJ09025064
17625,22.15,15SPJJJ10019016,577350132807389214,38bf99b15a,34.12961196899414,29.925851379614457,2018-10-02 07:22:29 CAT,32.0709342956543,52.10000000000001,80679.21029388504,-32.44726184574195,3.4538901847277357,15SPJJJ09031032
17626,24.02499915683036,15SPJJJ09018015,577348835878129703,38bf99b15a,34.69954299926758,29.706529910171408,2018-10-02 07:27:54 CAT,32.19733428955078,52.300000002012204,80649.50961917912,-32.63525248628034,3.5320076375712888,15SPJJJ09040032
17627,22.85,15SPJJJ10007045,577350132807348254,38bf99b15a,35.05175018310547,29.70093909287555,2018-10-02 07:44:57 CAT,32.08498001098633,53.5,80525.578388684,-27.026203296661016,4.057653386503159,15SPJJJ09025064
17628,24.3,15SPJJJ10040016,577348835962032159,38bf99b15a,33.850791931152344,29.891171211618865,2018-10-02 07:50:15 CAT,32.26107406616211,52.10000000000001,80620.48942327691,-39.45232509631776,3.7214742051311283,15SPJJJ09024061
17630,26.3,15SPJJJ10052026,577350132790558758,38bf99b15a,35.104305267333984,29.87289890558106,2018-10-02 08:39:42 CAT,32.137916564941406,50.45,80554.16599941821,-51.30994735372648,4.9308502373313905,15SPJJJ09025064
17631,27.524961765835627,15SPJJJ10060032,577348835962032159,38bf99b15a,33.85395050048828,29.725849699447224,2018-10-02 08:58:52 CAT,32.06337356567383,50.57496185009417,80671.26475642799,-51.6347211910606,3.4244674205918804,15SPJJJ09052035
17632,25.300000000000004,15SPJJJ10056048,577350132807348254,38bf99b15a,33.87898254394531,29.84103916194818,2018-10-02 08:51:05 CAT,32.17789077758789,50.27499400737885,80698.9169485428,-37.537898223584264,3.8323809822358728,15SPJJJ09024061
17633,25.5,15SPJJJ09036021,577350132807389214,38bf99b15a,32.47854995727539,29.777001859954183,2018-10-02 09:11:11 CAT,32.21894073486328,45.52498843718263,80576.51824321359,-78.15675163739768,3.889690176709226,15SPJJJ09008034
17634,26.35,15SPJJJ10021047,577350132790489124,38bf99b15a,32.67437744140625,30.085051236586803,2018-10-02 09:20:02 CAT,32.37559127807617,51.0,80724.64115678807,-66.86178606359422,3.6846351855299133,15SPJJJ09040032
17635,25.650000000000002,15SPJJJ10022048,577350132790558758,38bf99b15a,33.6932487487793,29.870013346397823,2018-10-02 10:30:44 CAT,32.09902572631836,52.050000000000004,80614.20308377878,-25.933514609399527,2.5706240143406296,15SPJJJ09052035
17636,30.0,15SPJJJ10023027,577348835878129703,38bf99b15a,35.78356170654297,29.931352204648,2018-10-02 10:35:02 CAT,32.15304183959961,46.85000000000001,80633.66887938608,-33.14603279779598,3.4350239375953073,15SPJJJ09024061
17637,30.050000000000004,15SPJJJ10050016,577350132807348254,38bf99b15a,33.02027893066406,30.05685845272511,2018-10-02 10:39:04 CAT,32.29780578613281,48.2,80714.29570184619,-24.807820531939818,2.2421593301830334,15SPJJJ09031032
17638,28.25,15SPJJJ10007045,577350132807389214,38bf99b15a,32.34586715698242,29.79438967225242,2018-10-02 11:31:50 CAT,32.4674186706543,50.2,80614.25974507503,-51.79974470881314,1.3975177859042867,15SPJJJ09040032
17639,32.85,15SPJJJ10054027,577348835962032159,38bf99b15a,32.187374114990234,29.784841236409726,2018-10-02 11:37:39 CAT,32.10982894897461,46.35,80409.12428258313,-72.7851203693441,2.8776056635003378,15SPJJJ09025064
17645,32.5,15SPJJJ09010022,577348835962032159,38bf99b15a,31.591337203979492,29.87273103266453,2018-10-02 14:21:23 CAT,32.3896369934082,47.55,80439.9324878607,-87.33719074188778,3.008599005532555,15SPJJJ09031032
17646,33.35,15SPJJJ10029029,577350132790558758,38bf99b15a,34.09715270996094,29.807298533187268,2018-10-02 14:29:47 CAT,32.43825149536133,44.95,80332.76850849623,-79.74986255562169,2.9390263109623036,15SPJJJ09024061
17647,32.5,15SPJJJ11059037,577348835962105883,38bf99b15a,31.438669204711914,29.930364913569726,2018-10-02 14:34:24 CAT,32.334537506103516,47.80001974654414,80405.03994017726,-47.18697306155386,2.241222845250525,15SPJJJ09040032
17648,26.450000000000003,15SPJJJ09018015,577350132790489124,38bf99b15a,31.017885208129883,30.29553485937249,2018-10-02 16:21:20 CAT,31.78572654724121,41.45,80182.98879539623,-76.20079825836818,2.471717122015076,15SPJJJ09008034
